Country Name,Country Code,1990,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
United Arab Emirates,Destination,1.75,1.75,1.730000019,1.75999999,1.799999952,1.889999986,1.980000019,2.069999933,2.150000095,2.25,2.410000086,2.559999943,2.710000038,2.900000095,3.119999886,3.059999943,2.99000001,2.849999905,2.529999971,2.359999895,2.230000019,2.089999914,1.950000048,1.840000033,1.74000001,1.639999986,2.460000038,2.230000019,2.279999971,5
Australia,Destination,9.579999924,10.72999954,10.86999989,9.720000267,8.470000267,8.510000229,8.359999657,7.679999828,6.869999886,6.28000021,6.739999771,6.369999886,5.929999828,5.400000095,5.03000021,4.78000021,4.380000114,4.230000019,5.559999943,5.210000038,5.079999924,5.21999979,5.659999847,6.079999924,6.050000191,5.710000038,5.590000153,5.300000191,5.159999847,6.610000134
Canada,Destination,10.31999969,11.19999981,11.38000011,10.39999962,9.489999771,9.619999886,9.100000381,8.279999733,7.579999924,6.829999924,7.21999979,7.670000076,7.570000172,7.190000057,6.760000229,6.320000172,6.039999962,6.139999866,8.340000153,8.06000042,7.510000229,7.289999962,7.070000172,6.909999847,6.909999847,7,6.340000153,5.829999924,5.659999847,9.479999542
Germany,Destination,5.320000172,6.320000172,7.679999828,8.729999542,8.159999847,8.829999924,9.859999657,9.789999962,8.859999657,7.920000076,7.769999981,8.479999542,9.779999733,10.72999954,11.17000008,10.25,8.659999847,7.53000021,7.739999771,6.96999979,5.820000172,5.380000114,5.230000019,4.980000019,4.619999886,4.119999886,3.75,3.380000114,3.140000105,4.309999943
Spain,Destination,15.93000031,17.70000076,22.15999985,24.20999908,22.68000031,22.13999939,20.70000076,18.67000008,15.47999954,13.78999996,10.35000038,11.14999962,11.27999973,11.09000015,9.149999619,8.449999809,8.229999542,11.25,17.86000061,19.86000061,21.38999939,24.79000092,26.09000015,24.44000053,22.05999947,19.63999939,17.21999931,15.26000023,14.10000038,15.67000008
France,Destination,9.130000114,10.21000004,11.31999969,12.59000015,11.84000015,12.36999989,12.56999969,12.07999992,11.97999954,10.22000027,8.609999657,8.699999809,8.31000042,8.909999847,8.489999771,8.449999809,7.659999847,7.059999943,8.739999771,8.869999886,8.81000042,9.399999619,9.920000076,10.28999996,10.35000038,10.03999996,9.409999847,9.020000458,8.43999958,8.619999886
United Kingdom,Destination,8.550000191,9.779999733,10.35000038,9.649999619,8.68999958,8.18999958,7.070000172,6.199999809,6.039999962,5.559999943,4.699999809,5.039999962,4.809999943,4.590000153,4.75,5.349999905,5.260000229,5.619999886,7.539999962,7.789999962,8.039999962,7.889999866,7.519999981,6.110000134,5.300000191,4.809999943,4.329999924,4,3.74000001,4.340000153
Italy,Destination,10.10000038,9.329999924,10.23999977,11.09000015,11.67000008,11.86999989,12,12.11999989,11.68999958,10.84000015,9.600000381,9.210000038,8.869999886,7.869999886,7.730000019,6.78000021,6.079999924,6.71999979,7.75,8.359999657,8.359999657,10.65999985,12.14999962,12.68000031,11.89999962,11.68999958,11.21000004,10.60999966,9.949999809,9.31000042
Russian Federation,Both,5.130000114,5.179999828,5.880000114,8.130000114,9.449999809,9.670000076,11.81000042,13.26000023,13.03999996,10.57999992,8.979999542,7.880000114,8.210000038,7.760000229,7.119999886,7.059999943,6,6.210000038,8.300000191,7.369999886,6.539999962,5.440000057,5.460000038,5.159999847,5.570000172,5.559999943,5.210000038,4.849999905,4.599999905,5.730000019
Saudi Arabia,Destination,7.210000038,7.199999809,6.670000076,6.25,5.860000134,5.480000019,5.099999905,4.730000019,4.349999905,4.570000172,4.619999886,5.269999981,5.559999943,5.820000172,6.050000191,6.25,5.730000019,5.079999924,5.380000114,5.550000191,5.769999981,5.519999981,5.570000172,5.71999979,5.590000153,5.650000095,5.889999866,6.039999962,6.130000114,8.220000267
United States,Destination,6.800000191,7.5,6.900000095,6.119999886,5.650000095,5.449999809,5,4.510000229,4.21999979,3.99000001,4.730000019,5.78000021,5.989999771,5.53000021,5.079999924,4.619999886,4.619999886,5.78000021,9.25,9.630000114,8.949999809,8.069999695,7.380000114,6.170000076,5.28000021,4.869999886,4.360000134,3.900000095,3.670000076,8.31000042
Afghanistan,Origin,11.38000011,11.46000004,11.60999966,11.64999962,11.64999962,11.64999962,11.64000034,11.64000034,11.68999958,11.64999962,11.63000011,11.68000031,11.68000031,11.60999966,11.52000046,11.34000015,11.18000031,11.10999966,11.46000004,11.52000046,11.51000023,11.52000046,11.53999996,11.44999981,11.39000034,11.31000042,11.18000031,11.06000042,10.97999954,11.72999954
Bangladesh,Origin,2.200000048,2.269999981,2.359999895,2.420000076,2.470000029,2.50999999,2.690000057,2.869999886,3.089999914,3.269999981,3.589999914,3.960000038,4.320000172,4.300000191,4.25,3.589999914,3.910000086,4.289999962,5,3.380000114,3.710000038,4.059999943,4.429999828,4.389999866,4.380000114,4.349999905,4.369999886,4.289999962,4.21999979,5.300000191
China,Origin,2.400000095,2.400000095,2.700000048,2.900000095,3,3.099999905,3.200000048,3.200000048,3.299999952,3.299999952,3.799999952,4.199999809,4.599999905,4.5,4.5,4.400000095,4.300000191,4.599999905,4.699999809,4.5,4.5,4.599999905,4.599999905,4.599999905,4.599999905,4.5,4.400000095,4.300000191,4.599999905,5
India,Origin,5.550000191,5.610000134,5.71999979,5.75,5.75,5.75,5.739999771,5.739999771,5.78000021,5.75,5.730000019,5.769999981,5.769999981,5.71999979,5.650000095,5.519999981,5.409999847,5.360000134,5.610000134,5.650000095,5.650000095,5.659999847,5.670000076,5.599999905,5.559999943,5.510000229,5.409999847,5.329999924,5.269999981,7.110000134
Mexico,Origin,3.150000095,3.24000001,3.369999886,4.440000057,7.099999905,5.46999979,4.239999771,3.730000019,2.599999905,2.650000095,2.630000114,3,3.460000038,3.940000057,3.559999943,3.569999933,3.630000114,3.869999886,5.360000134,5.300000191,5.170000076,4.889999866,4.909999847,4.809999943,4.309999943,3.859999895,3.420000076,3.279999971,3.480000019,4.710000038
Pakistan,Origin,0.589999974,0.600000024,0.620000005,0.629999995,0.629999995,0.629999995,0.629999995,0.629999995,0.639999986,0.629999995,0.629999995,0.639999986,0.639999986,0.629999995,0.610000014,0.579999983,0.400000006,0.419999987,0.540000021,0.649999976,0.800000012,1.700000048,2.950000048,1.830000043,3.569999933,3.779999971,3.940000057,4.079999924,3.980000019,4.650000095
Philippines,Origin,3.559999943,3.609999895,3.690000057,3.710000038,3.710000038,3.710000038,3.700000048,3.700000048,3.730000019,3.710000038,3.700000048,3.630000114,3.529999971,3.549999952,3.799999952,4.050000191,3.430000067,3.720000029,3.859999895,3.609999895,3.589999914,3.5,3.5,3.599999905,3.069999933,2.690000057,2.549999952,2.339999914,2.24000001,3.359999895
Syrian Arab Republic,Origin,6.75,7.050000191,7.400000095,7.5,7.199999809,7.289999962,7.380000114,7.46999979,7.599999905,9.510000229,11.63000011,10.97999954,10.27999973,9.590000153,8.899999619,8.170000076,8.420000076,10.93999958,8.140000343,8.609999657,8.600000381,8.609999657,8.619999886,8.550000191,8.5,8.43999958,8.329999924,8.229999542,8.159999847,9.029999733
Ukraine,Origin,1.899999976,1.899999976,2,2,5.619999886,7.650000095,8.930000305,11.31999969,11.85999966,11.71000004,11.06000042,10.14000034,9.06000042,8.590000153,7.179999828,6.809999943,6.349999905,6.360000134,8.840000153,8.100000381,7.849999905,7.53000021,7.170000076,9.270000458,9.140000343,9.350000381,9.510000229,8.800000191,8.18999958,9.479999542
